Number,oA1,oA2,oB1,oB2,pA1,pA2,pB1,pB2
1,24,59,47,64,34,66,42,58
2,79,82,57,94,88,12,20,80
3,62,0,23,31,74,26,44,56
4,56,72,68,95,5,95,95,5
5,84,43,7,97,25,75,43,57
6,7,74,55,63,28,72,71,29
7,56,19,13,90,9,91,76,24
8,41,18,56,8,63,37,98,2
9,72,29,67,63,88,12,39,61
10,37,50,6,45,61,39,60,40
11,54,31,44,29,8,92,15,85
12,63,5,43,53,92,8,63,37
13,32,99,39,56,78,22,32,68
14,66,23,15,29,16,84,79,21
15,52,73,92,19,12,88,98,2
16,88,78,53,91,29,71,29,71
17,39,51,16,91,31,69,84,16
18,70,65,100,50,17,83,35,65
19,80,19,37,65,91,9,64,36
20,83,67,77,6,9,91,48,52
21,14,72,9,31,44,56,21,79
22,41,65,100,2,68,32,85,15
23,40,55,26,96,38,62,14,86
24,1,83,37,24,62,38,41,59
25,15,50,64,14,49,51,94,6
26,-15,-67,-56,-83,16,84,72,28
27,-19,-56,-32,-37,13,87,70,30
28,-67,-28,-46,-44,29,71,5,95
29,-40,-90,-46,-64,82,18,17,83
30,-25,-86,-38,-99,29,71,76,24
31,-46,-21,-99,-37,60,40,42,58
32,-15,-91,-48,-74,48,52,28,72
33,-93,-26,-52,-93,53,47,80,20
34,-1,-54,-33,-30,49,51,77,23
35,-24,-13,-15,-62,99,1,44,56
36,-67,-37,0,-97,79,21,46,54
37,-58,-80,-58,-97,56,44,86,14
38,-96,-38,-12,-69,63,37,17,83
39,-55,-77,-30,-61,59,41,47,53
40,-29,-76,-100,-28,13,87,55,45
41,-57,-90,-63,-30,84,16,25,75
42,-29,-30,-17,-43,86,14,26,74
43,-8,-95,-42,-30,66,34,93,7
44,-35,-72,-57,-28,39,61,76,24
45,-26,-76,-48,-34,51,49,77,23
46,-73,-54,-42,-70,73,27,17,83
47,-66,-92,-97,-34,49,51,78,22
48,-9,-56,-15,-80,56,44,64,36
49,-61,-56,-7,-63,96,4,34,66
50,-4,-80,-46,-58,56,44,4,96
51,63,-91,24,-83,57,43,73,27
52,54,-82,38,-73,94,6,91,9
53,98,-70,93,-85,21,79,35,65
54,52,-8,23,-39,63,37,87,13
55,96,-67,71,-26,61,39,50,50
56,63,-47,13,-69,57,43,98,2
57,19,-70,8,-37,61,39,30,70
58,81,-100,15,-73,41,59,53,47
59,96,-73,16,-48,8,92,11,89
60,27,-31,26,-48,11,89,36,64
61,83,-39,86,-88,13,86,20,80
62,77,-23,75,-7,74,26,67,33
63,28,-33,9,-67,9,91,27,73
64,75,-90,96,-89,93,7,87,13
65,67,-3,74,-2,99,1,68,32
66,58,-5,96,-40,48,52,60,40
67,95,-55,99,-13,93,7,52,48
68,30,-51,46,-89,3,97,32,68
69,82,-26,31,-39,14,86,40,60
70,88,-90,14,-86,12,88,20,80
71,45,-78,83,-69,13,87,12,88
72,17,-48,84,-60,96,4,51,49
73,2,-49,19,-18,62,38,22,78
74,96,-59,63,-4,72,28,96,4
75,98,-24,46,-76,50,50,86,14
76,60,-20,0,0,50,50,50,50
77,60,-30,0,0,50,50,50,50
78,60,-40,0,0,50,50,50,50
79,60,-50,0,0,50,50,50,50
80,60,-60,0,0,50,50,50,50
81,60,-70,0,0,50,50,50,50
82,40,32,77,2,10,90,10,90
83,40,32,77,2,20,80,20,80
84,40,32,77,2,30,70,30,70
85,40,32,77,2,40,60,40,60
86,40,32,77,2,50,50,50,50
87,40,32,77,2,60,40,60,40
88,40,32,77,2,70,30,70,30
89,40,32,77,2,80,20,80,20
90,40,32,77,2,90,10,90,10
91,40,32,77,2,100,0,100,0