task,actual_value,boxname
1,24,a1
2,79,a1
3,62,a1
4,56,a1
5,84,a1
6,7,a1
7,56,a1
8,41,a1
9,72,a1
10,37,a1
11,54,a1
12,63,a1
13,32,a1
14,66,a1
15,52,a1
16,88,a1
17,39,a1
18,70,a1
19,80,a1
20,83,a1
21,14,a1
22,41,a1
23,40,a1
24,1,a1
25,15,a1
26,-15,a1
27,-19,a1
28,-67,a1
29,-40,a1
30,-25,a1
31,-46,a1
32,-15,a1
33,-93,a1
34,-1,a1
35,-24,a1
36,-67,a1
37,-58,a1
38,-96,a1
39,-55,a1
40,-29,a1
41,-57,a1
42,-29,a1
43,-8,a1
44,-35,a1
45,-26,a1
46,-73,a1
47,-66,a1
48,-9,a1
49,-61,a1
50,-4,a1
51,-91,a1
52,-82,a1
53,-70,a1
54,-8,a1
55,96,a1
56,-47,a1
57,-70,a1
58,-100,a1
59,-73,a1
60,-31,a1
61,-39,a1
62,77,a1
63,-33,a1
64,75,a1
65,67,a1
66,58,a1
67,-55,a1
68,-51,a1
69,-26,a1
70,-90,a1
71,-78,a1
72,17,a1
73,-49,a1
74,-59,a1
75,98,a1
76,-20,a1
77,-30,a1
78,-40,a1
79,-50,a1
80,-60,a1
81,-70,a1
82,40,a1
83,40,a1
84,40,a1
85,40,a1
86,40,a1
87,40,a1
88,40,a1
89,40,a1
90,40,a1
91,40,a1
1,59,a3
2,82,a3
3,0,a3
4,72,a3
5,43,a3
6,74,a3
7,19,a3
8,18,a3
9,29,a3
10,50,a3
11,31,a3
12,5,a3
13,99,a3
14,23,a3
15,73,a3
16,78,a3
17,51,a3
18,65,a3
19,19,a3
20,67,a3
21,72,a3
22,65,a3
23,55,a3
24,83,a3
25,50,a3
26,-67,a3
27,-56,a3
28,-28,a3
29,-90,a3
30,-86,a3
31,-21,a3
32,-91,a3
33,-26,a3
34,-54,a3
35,-13,a3
36,-37,a3
37,-80,a3
38,-38,a3
39,-77,a3
40,-76,a3
41,-90,a3
42,-30,a3
43,-95,a3
44,-72,a3
45,-76,a3
46,-54,a3
47,-92,a3
48,-56,a3
49,-56,a3
50,-80,a3
51,63,a3
52,54,a3
53,98,a3
54,52,a3
55,-67,a3
56,63,a3
57,19,a3
58,81,a3
59,96,a3
60,27,a3
61,83,a3
62,-23,a3
63,28,a3
64,-90,a3
65,-3,a3
66,-5,a3
67,95,a3
68,30,a3
69,82,a3
70,88,a3
71,45,a3
72,-48,a3
73,2,a3
74,96,a3
75,-24,a3
76,60,a3
77,60,a3
78,60,a3
79,60,a3
80,60,a3
81,60,a3
82,32,a3
83,32,a3
84,32,a3
85,32,a3
86,32,a3
87,32,a3
88,32,a3
89,32,a3
90,32,a3
91,32,a3
1,47,b1
2,57,b1
3,23,b1
4,68,b1
5,7,b1
6,55,b1
7,13,b1
8,56,b1
9,67,b1
10,6,b1
11,44,b1
12,43,b1
13,39,b1
14,15,b1
15,92,b1
16,53,b1
17,16,b1
18,100,b1
19,37,b1
20,77,b1
21,9,b1
22,100,b1
23,26,b1
24,37,b1
25,64,b1
26,-56,b1
27,-32,b1
28,-46,b1
29,-46,b1
30,-38,b1
31,-99,b1
32,-48,b1
33,-52,b1
34,-33,b1
35,-15,b1
36,0,b1
37,-58,b1
38,-12,b1
39,-30,b1
40,-100,b1
41,-63,b1
42,-17,b1
43,-42,b1
44,-57,b1
45,-48,b1
46,-42,b1
47,-97,b1
48,-15,b1
49,-7,b1
50,-46,b1
51,-83,b1
52,38,b1
53,-85,b1
54,23,b1
55,71,b1
56,-69,b1
57,8,b1
58,-73,b1
59,16,b1
60,26,b1
61,8,b1
62,75,b1
63,9,b1
64,96,b1
65,74,b1
66,-40,b1
67,-13,b1
68,-89,b1
69,-39,b1
70,-86,b1
71,-69,b1
72,-60,b1
73,19,b1
74,-4,b1
75,-76,b1
76,0,b1
77,0,b1
78,0,b1
79,0,b1
80,0,b1
81,0,b1
82,77,b1
83,77,b1
84,77,b1
85,77,b1
86,77,b1
87,77,b1
88,77,b1
89,77,b1
90,77,b1
91,77,b1
1,64,b3
2,94,b3
3,31,b3
4,95,b3
5,97,b3
6,63,b3
7,90,b3
8,8,b3
9,63,b3
10,45,b3
11,29,b3
12,53,b3
13,56,b3
14,29,b3
15,19,b3
16,91,b3
17,91,b3
18,50,b3
19,65,b3
20,6,b3
21,31,b3
22,2,b3
23,96,b3
24,24,b3
25,14,b3
26,-83,b3
27,-37,b3
28,-44,b3
29,-64,b3
30,-99,b3
31,-37,b3
32,-74,b3
33,-93,b3
34,-30,b3
35,-62,b3
36,-97,b3
37,-97,b3
38,-69,b3
39,-61,b3
40,-28,b3
41,-30,b3
42,-43,b3
43,-30,b3
44,-28,b3
45,-34,b3
46,-70,b3
47,-34,b3
48,-80,b3
49,-63,b3
50,-58,b3
51,24,b3
52,-73,b3
53,93,b3
54,-39,b3
55,-26,b3
56,14,b3
57,-37,b3
58,15,b3
59,-48,b3
60,-48,b3
61,-88,b3
62,-7,b3
63,-67,b3
64,-89,b3
65,-2,b3
66,96,b3
67,99,b3
68,46,b3
69,31,b3
70,14,b3
71,83,b3
72,84,b3
73,-18,b3
74,63,b3
75,46,b3
76,0,b3
77,0,b3
78,0,b3
79,0,b3
80,0,b3
81,0,b3
82,2,b3
83,2,b3
84,2,b3
85,2,b3
86,2,b3
87,2,b3
88,2,b3
89,2,b3
90,2,b3
91,2,b3
1,34,a2
2,88,a2
3,74,a2
4,5,a2
5,25,a2
6,28,a2
7,9,a2
8,63,a2
9,88,a2
10,61,a2
11,8,a2
12,92,a2
13,78,a2
14,16,a2
15,12,a2
16,29,a2
17,31,a2
18,17,a2
19,91,a2
20,9,a2
21,44,a2
22,68,a2
23,38,a2
24,62,a2
25,49,a2
26,16,a2
27,13,a2
28,29,a2
29,82,a2
30,29,a2
31,60,a2
32,48,a2
33,53,a2
34,49,a2
35,99,a2
36,79,a2
37,56,a2
38,63,a2
39,59,a2
40,13,a2
41,84,a2
42,86,a2
43,66,a2
44,39,a2
45,51,a2
46,73,a2
47,49,a2
48,56,a2
49,96,a2
50,56,a2
51,43,a2
52,6,a2
53,79,a2
54,37,a2
55,61,a2
56,43,a2
57,39,a2
58,59,a2
59,92,a2
60,89,a2
61,86,a2
62,74,a2
63,91,a2
64,93,a2
65,99,a2
66,48,a2
67,7,a2
68,97,a2
69,86,a2
70,88,a2
71,87,a2
72,96,a2
73,38,a2
74,28,a2
75,50,a2
76,50,a2
77,50,a2
78,50,a2
79,50,a2
80,50,a2
81,50,a2
82,10,a2
83,20,a2
84,30,a2
85,40,a2
86,50,a2
87,60,a2
88,70,a2
89,80,a2
90,90,a2
91,100,a2
1,66,a4
2,12,a4
3,26,a4
4,95,a4
5,75,a4
6,72,a4
7,91,a4
8,37,a4
9,12,a4
10,39,a4
11,92,a4
12,8,a4
13,22,a4
14,84,a4
15,88,a4
16,71,a4
17,69,a4
18,83,a4
19,9,a4
20,91,a4
21,56,a4
22,32,a4
23,62,a4
24,38,a4
25,51,a4
26,84,a4
27,87,a4
28,71,a4
29,18,a4
30,71,a4
31,40,a4
32,52,a4
33,47,a4
34,51,a4
35,1,a4
36,21,a4
37,44,a4
38,37,a4
39,41,a4
40,87,a4
41,16,a4
42,14,a4
43,34,a4
44,61,a4
45,49,a4
46,27,a4
47,51,a4
48,44,a4
49,4,a4
50,44,a4
51,57,a4
52,94,a4
53,21,a4
54,63,a4
55,39,a4
56,57,a4
57,61,a4
58,41,a4
59,8,a4
60,11,a4
61,14,a4
62,26,a4
63,9,a4
64,7,a4
65,1,a4
66,52,a4
67,93,a4
68,3,a4
69,14,a4
70,12,a4
71,13,a4
72,4,a4
73,62,a4
74,72,a4
75,50,a4
76,50,a4
77,50,a4
78,50,a4
79,50,a4
80,50,a4
81,50,a4
82,90,a4
83,80,a4
84,70,a4
85,60,a4
86,50,a4
87,40,a4
88,30,a4
89,20,a4
90,10,a4
91,0,a4
1,42,b2
2,20,b2
3,44,b2
4,95,b2
5,43,b2
6,71,b2
7,76,b2
8,98,b2
9,39,b2
10,60,b2
11,15,b2
12,63,b2
13,32,b2
14,79,b2
15,98,b2
16,29,b2
17,84,b2
18,35,b2
19,64,b2
20,48,b2
21,21,b2
22,85,b2
23,14,b2
24,41,b2
25,94,b2
26,72,b2
27,70,b2
28,5,b2
29,17,b2
30,76,b2
31,42,b2
32,28,b2
33,80,b2
34,77,b2
35,44,b2
36,46,b2
37,86,b2
38,17,b2
39,47,b2
40,55,b2
41,25,b2
42,26,b2
43,93,b2
44,76,b2
45,77,b2
46,17,b2
47,78,b2
48,64,b2
49,34,b2
50,4,b2
51,27,b2
52,91,b2
53,65,b2
54,87,b2
55,50,b2
56,2,b2
57,30,b2
58,47,b2
59,11,b2
60,36,b2
61,80,b2
62,67,b2
63,27,b2
64,87,b2
65,68,b2
66,40,b2
67,48,b2
68,68,b2
69,60,b2
70,80,b2
71,88,b2
72,49,b2
73,22,b2
74,4,b2
75,14,b2
76,50,b2
77,50,b2
78,50,b2
79,50,b2
80,50,b2
81,50,b2
82,10,b2
83,20,b2
84,30,b2
85,40,b2
86,50,b2
87,60,b2
88,70,b2
89,80,b2
90,90,b2
91,100,b2
1,58,b4
2,80,b4
3,56,b4
4,5,b4
5,57,b4
6,29,b4
7,24,b4
8,2,b4
9,61,b4
10,40,b4
11,85,b4
12,37,b4
13,68,b4
14,21,b4
15,2,b4
16,71,b4
17,16,b4
18,65,b4
19,36,b4
20,52,b4
21,79,b4
22,15,b4
23,86,b4
24,59,b4
25,6,b4
26,28,b4
27,30,b4
28,95,b4
29,83,b4
30,24,b4
31,58,b4
32,72,b4
33,20,b4
34,23,b4
35,56,b4
36,54,b4
37,14,b4
38,83,b4
39,53,b4
40,45,b4
41,75,b4
42,74,b4
43,7,b4
44,24,b4
45,23,b4
46,83,b4
47,22,b4
48,36,b4
49,66,b4
50,96,b4
51,73,b4
52,9,b4
53,35,b4
54,13,b4
55,50,b4
56,98,b4
57,70,b4
58,53,b4
59,89,b4
60,64,b4
61,20,b4
62,33,b4
63,73,b4
64,13,b4
65,32,b4
66,60,b4
67,52,b4
68,32,b4
69,40,b4
70,20,b4
71,12,b4
72,51,b4
73,78,b4
74,96,b4
75,86,b4
76,50,b4
77,50,b4
78,50,b4
79,50,b4
80,50,b4
81,50,b4
82,90,b4
83,80,b4
84,70,b4
85,60,b4
86,50,b4
87,40,b4
88,30,b4
89,20,b4
90,10,b4
91,0,b4